Question,Answer
What AI services does the library offer?,"The library offers support with the application of AI and Machine Learning (ML) tools for your research and projects. You can also receive guidance on the safe and responsible usage of generative AI (GenAI) for your research, teaching, and learning.[Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/ai_data_science_support/index.php)"
who is the director of digital research services?,"The Director of Digital Research Services is Kate Boyd. Phone: 803-777-2249 Email: boydkf@mailbox.sc.edu"
Data analysis help,"The library offers support for doing exploratory data analysis and helps with quantitative and qualitative statistical software products. [Learn more here](https://guides.library.sc.edu/c.php?g=1335227)"
How can I use digital tools in research?,"The library offers support for using digital processes, tools, and methods to enable and present new forms of research. [Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/digital_scholarship/index.php)"
Data organization,"The University Libraries provide support throughout the research data lifecycle, including assistance with data management plans, finding open datasets, data sharing, metadata, and more. [Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/research_data_management/index.php)"
How can I visualize my research data?,"Data visualization support may be desired at any stage of your research process. The University Libraries offers resources and services useful in data visualization. [Learn more here](https://sc.edu/about/offices_and_divisions/university_libraries/find_services/digital_research_services/data_visualization_gis/index.php)"
Does the library offer workshops?,"You can register for free library workshops on a variety of research data and publishing topics. [Learn more here](https://libcal.library.sc.edu/calendar/workshops?cid=16861&t=g&d=0000-00-00&cal=16861&inc=0)"
How do I search South Caroliniana Library's collections?,"To search the South Caroliniana Library's collections, please start with our online catalog, which can be found on our [main webpage](http://sc.edu/libraries/scl).
To search by keyword, enter keywords in the search box and click search. Or, you can follow the link below the search box to [Advanced Search](https://pascal-usc.primo.exlibrisgroup.com/discovery/search?vid=01PASCAL_USCCOL:USC&mode=advanced). There you will be able to search specific fields within the catalog records and build searches with AND, OR, or NOT.
In your first results page, you may limit your results further to physical and digital items held by University Libraries, including South Caroliniana Library, by clicking the drop-down arrow next to the search box where it says Articles, Books and More, choosing USC Libraries, and clicking the magnifying glass search icon to refresh your results. Then, if you wish to limit specifically to items within South Caroliniana Library's collections, click the checkboxes to choose all locations that have South Caroliniana as part of their name under the Location menu (at the left of the screen on a computer or under the filters icon on your phone). This may not seem intuitive, but choosing locations containing South Caroliniana returns a complete set of South Caroliniana Library materials, while choosing South Caroliniana Library under Library does not always return a complete set.
There might be materials within [South Carolina Political Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/sc_political_collections/index.php) or [Oral History](https://sc.edu/about/offices_and_divisions/university_libraries/browse/oral_history/index.php) related to your topic as well. To include these in your catalog search results, please choose South Carolina Political Collections or Columbia Oral History as locations. Note, if there are no search results within these locations, the option to select them will not appear.
To point out a particular collection or item in a collection found in our catalog, we recommend including the Permalink. From the catalog record, click the PERMALINK icon under Tools. Then copy and paste the link into your email.
In addition to [searching our catalog](https://sc.edu/libraries/scl), you can [search finding aids to many of our larger collections in ArchivesSpace](https://archives.library.sc.edu/). You can search all repositories or [limit to specific repositories](https://archives.library.sc.edu/repositories), such as [the South Caroliniana Library](https://archives.library.sc.edu/repositories/south_caroliniana_library), [South Carolina Political Collections](https://archives.library.sc.edu/repositories/south_carolina_political_collections), or [Oral History](https://archives.library.sc.edu/repositories/office_of_oral_history_1). Here, rather than finding a permalink to copy and paste, copy instead the URL from the address bar of your browser and paste it into your email.
We also have online [South Caroliniana Library Digital Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/digital_collections/collections/index.php?search=caroliniana), [South Carolina Political Collections Digital Collections](https://digital.library.sc.edu/departments/scpc/), [Oral HIstory Online Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/oral_history/collections/index.php?search=digital), and the [Historical Newspapers of South Carolina](https://historicnewspapers.sc.edu).
If you have questions, please [contact us](https://libanswers.library.sc.edu/form?queue_id=6117).
Please also see [How can I see collection materials from South Caroliniana Library?](https://libanswers.library.sc.edu/scl/faq/372586)

[Learn more here](https://libanswers.library.sc.edu//scl/faq/372585)"
How do I set an appointment to do research or use your collections?,"We set research appointments in the Charles W. Joyner Reading Room at the South Caroliniana Library during our open hours of 9 a.m. until 4 p.m., Tuesdays through Fridays, and the first Saturday of each month, subject to appointment availability. We are closed to the public on Sundays, Mondays, and Saturdays except for the first Saturday of each month. ([Please check here for holidays and exceptions.](https://sc.edu/about/offices_and_divisions/university_libraries/about/hours/index.php)) 
Please let us know what date and time would like to arrive and approximately when you plan to leave. We will need a list of the materials you wish to view by 12 noon (ET) at least three weekdays in advance to ensure we have time to locate all materials and bring anything that is stored offsite to the reading room. (For example, if you request materials by 12 noon on Monday, we can usually set your appointment as early as Thursday. If after noon on Monday but before noon on Tuesday, we can set your appointment for Friday.)
If visiting us in person is not convenient, we offer an hour of research-quality scanning at no charge. See [How can I see collection materials from South Caroliniana Library](https://libanswers.library.sc.edu/scl/faq/372586)?
Just [contact us here](http://libanswers.library.sc.edu/form?queue_id=6117) when you're ready. 
Please note that items that are part of the [South Carolina Political Collections](https://sc.edu/about/offices_and_divisions/university_libraries/browse/sc_political_collections/index.php) are not accessible at the South Caroliniana Library, but may be viewed by appointment only in the [Dorothy B. Smith Reading Room](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/smith_reading_room/index.php) in the [Ernest F. Hollings Special Collections Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php), Please visit the [Ernest F. Hollings Special Collections Library](https://sc.edu/about/offices_and_divisions/university_libraries/about/locations/hollings/index.php) for information on hours.

[Learn more here](https://libanswers.library.sc.edu//scl/faq/376435)"
I have African American ancestry. Do you have suggestions for researching my genealogy?,"First, please take a look at [Do you have resources I can use to research my family's genealogy?](https://libanswers.library.sc.edu/scl/faq/372588)
Here are some additional suggestions.
Past records of the [United States Census are available through the National Archives](https://www.archives.gov/research/census). The 1870 census is the first in which formerly enslaved African Americans were listed by name. The 1850 and 1860 censuses included slave schedules listing numbers of enslaved persons held by particular enslavers along with their sex, color (black or mulatto), and age, but without their names.
If you are able to determine the name of a plantation, family, or person who may have held an ancestor of yours in enslavement, you can look to see if South Caroliniana Library holds antebellum papers from that person, family, or plantation, which might include names of enslaved persons. We also hold series A and B of the Records of ante-bellum Southern Plantations on microfilm. (These are available also from [other libraries](http://www.worldcat.org/oclc/12894903).) We can provide an index to these records, or you can see the lists of names in the two series, [Series A](https://www.familysearch.org/search/catalog/564176) and [Series B](https://www.familysearch.org/search/catalog/559181), as provided by FamilySearch.org.
Records kept by the Freedmen's Bureau after the Civil War often contain labor contracts between recently-freed African Americans and land owners, who were sometimes their former enslavers. They are organized by area, so if you have an idea of where a formerly enslaved ancestor may have lived, you might be able to find a record of them from immediately after the Civil War. Freedmen's Bureau records are available several places online:
[The Freedmen's Bureau holdings at the National Archives](https://www.archives.gov/research/african-americans/freedmens-bureau)
[The Freedmen's Bureau Records at the Smithsonian's National Museum of African American History and Culture](https://nmaahc.si.edu/explore/initiatives/freedmens-bureau-records)
[The Freemen's Bureau Digital Collection in the Smithsonian Online Virtual Archives](https://sova.si.edu/record/NMAAHC.FB)
[The Freedmen's Bureau Online](http://www.freedmensbureau.com/)
The [South Carolina Department of Archives and History](https://scdah.sc.gov/) has a [page of resources for African American genealogy](https://scdah.sc.gov/research-and-genealogy/resources/african-american-genealogy).
And the [International African American Museum](https://iaamuseum.org/) in Charleston, S.C., has a [Center for Family History](https://iaamuseum.org/center-for-family-history/).
Some genealogists find that they wish to employ a professional researcher to assist with their family history. Please [contact us](https://libanswers.library.sc.edu/form?queue_id=6117) if you would like a list of researchers who have provided their contact information for us to give out.

[Learn more here](https://libanswers.library.sc.edu//scl/faq/373198)"
